index,repo_name,avg_bug-issue_time,bug-fix-commits_ratio,code-smells_ncloc,cognitive-complexity_ncloc
1,koajs/koa,1725418.1285714286,0.1910714285714285,0.0016477857878475,0.0463439752832131
2,avajs/ava,3600513.794326241,0.1166803615447822,0.0026943802925327,0.1023314637633344
3,node-fetch/node-fetch,3167027.386904762,0.1930835734870317,0.0070855864255081,0.1389147865000932
4,yujiosaka/headless-chrome-crawler,4625403.166666667,0.1214953271028037,0.0052770448548812,0.0612723541483435
5,developit/redaxios,inf,0.1851851851851851,0.0052631578947368,0.1657894736842105
6,infinitered/apisauce,5441775.066666666,0.0458015267175572,0.0,0.0116591928251121
7,xiaozhu188/electron-vue-cloud-music,inf,0.1126760563380281,0.0056994614991549,0.044259266538265
8,mikeal/bent,inf,0.5555555555555556,0.0061349693251533,0.254601226993865
9,umijs/umi-request,2705202.5,0.3793103448275862,0.039348710990502,0.1062867480777928
10,sindresorhus/emittery,866929.2857142857,0.0789473684210526,0.0031426775612822,0.0993086109365179
11,ctrlplusb/react-async-component,6505542.142857143,0.0625,0.0072332730560578,0.1283905967450271
12,kevva/download,inf,0.0335570469798657,0.0,0.1363636363636363
13,wheresrhys/fetch-mock,2696314.3846153845,0.197463768115942,0.00318407960199,0.056318407960199
14,ladjs/frisbee,inf,0.1984126984126984,0.0212014134275618,0.1123674911660777
15,foxbenjaminfox/vue-async-computed,1945373.5,0.088235294117647,0.0048939641109298,0.0513866231647634
16,davellanedam/node-express-mongodb-jwt-rest-api-skeleton,2323428.0,0.0357142857142857,0.0013495276653171,0.0526315789473684
17,node-webot/co-wechat-api,inf,0.2184873949579832,0.1806953339432754,0.0530649588289112
18,MatAtBread/fast-async,1723957.7692307692,0.0526315789473684,0.1735159817351598,0.3150684931506849
19,numical/script-ext-html-webpack-plugin,5631860.666666667,0.1454545454545454,0.0053447354355959,0.0823089257081774
20,mhaagens/react-mobx-react-router4-boilerplate,528116.8333333334,inf,0.073170731707317,0.0215208034433285
21,vitalets/websocket-as-promised,inf,0.1463414634146341,0.0050658561296859,0.0638297872340425
22,kozhevnikov/proxymise,inf,inf,0.0,0.0482954545454545
23,getify/fasy,inf,0.088235294117647,0.1843790012804097,0.086427656850192
24,babel/kneden,inf,0.0888888888888888,0.0559085133418043,0.1317238458280389
25,leebyron/async-to-gen,4756531.2,0.14,0.1797040169133192,0.1955602536997885
26,dai-shi/react-hooks-async,inf,0.1376146788990825,0.0064412238325281,0.1143317230273752
27,vercel/fetch,inf,0.2075471698113207,0.0060882800608828,0.1567732115677321
28,ehmicky/log-process-errors,710537.0,0.0148648648648648,0.0025806451612903,0.0412903225806451
29,xtuc/async-reactor,inf,0.3170731707317073,0.0014492753623188,0.0275362318840579
30,jshttp/on-finished,inf,0.125,0.113327289211242,0.0834088848594741
31,johndatserakis/koa-vue-notes-api,inf,0.027027027027027,0.0066815144766146,0.0879732739420935
32,klis87/redux-requests,3772864.5714285714,0.0298507462686567,0.0046380885453267,0.0663387210119465
33,ilyalesik/react-fetch-hook,inf,0.0465116279069767,0.0776545166402535,0.0776545166402535
34,mcollina/async-cache-dedupe,inf,inf,0.0143184421534937,0.1073883161512027
35,dvlsg/async-csp,inf,0.081081081081081,0.0088593576965669,0.1511627906976744
36,mo/abortcontroller-polyfill,518759.0,0.1234567901234567,0.0054421768707482,0.1836734693877551
37,wtfaremyinitials/osa-imessage,inf,0.0681818181818181,0.0155440414507772,0.1088082901554404
38,mhart/aws4fetch,inf,0.125,0.005086469989827,0.155645981688708
39,microlinkhq/async-ratelimiter,inf,0.1666666666666666,0.0029498525073746,0.1150442477876106
40,finos/regular-table,401656.4,0.1411290322580645,0.0108761329305135,0.1356495468277945
41,sindresorhus/loud-rejection,inf,inf,0.015228426395939,0.0761421319796954
42,bajankristof/nedb-promises,inf,0.0714285714285714,0.0077220077220077,0.027027027027027
43,luffyZh/next-antd-scaffold,inf,0.1789473684210526,0.013064133016627,0.0486935866983372
44,AnthumChris/fetch-stream-audio,inf,0.0789473684210526,0.0197433366238894,0.1342546890424481
45,npm/pacote,3847082.75,0.3907815631262525,0.0068396700865017,0.0718165359082679
46,wopian/kitsu,2186987.705882353,0.2640949554896142,0.0011074197120708,0.0325897800980857
47,ericelliott/redux-dsm,inf,0.1891891891891892,0.0053475935828877,0.0427807486631016
48,maxogden/toiletdb,inf,inf,0.0054054054054054,0.2
49,franciscop/translate,298567.125,0.0476190476190476,0.0117878192534381,0.074656188605108
50,perich/ethereum-dex-prices-service,inf,0.1825396825396825,0.0035164835164835,0.1578021978021978
51,kylefarris/clamscan,3151718.821428572,0.2146892655367231,0.0160849772382397,0.404855842185129
52,ember-cli/ember-fetch,4582533.0625,0.1911111111111111,0.0046656298600311,0.0305857957490927
53,alpertuna/react-metismenu,inf,0.08,0.0626460963066853,0.0780738662926601
54,DockYard/ember-async-button,inf,0.0526315789473684,0.0041666666666666,0.0402777777777777
55,moaxaca/async-redis,inf,inf,0.002710027100271,0.0921409214092141
56,viniciusdacal/redux-arc,inf,0.0714285714285714,0.0019230769230769,0.0682692307692307
57,trekjs/trek,inf,0.048076923076923,0.0049504950495049,0.099009900990099
58,lavyun/better-mock,193311.375,0.1160714285714285,0.0848973607038123,0.1354838709677419
59,techniq/react-fetch-component,inf,0.0224719101123595,0.0183805265772478,0.0432190760059612
60,gullerya/object-observer,150336.64285714287,0.215,0.00661853188929,0.1040914560770156
61,joelnet/MojiScript,189697.0,0.1206349206349206,0.0075987841945288,0.0638297872340425
62,npm/make-fetch-happen,8451366.076923076,0.6060606060606061,0.0034530386740331,0.0517955801104972
63,kouhin/redux-dataloader,inf,0.2075471698113207,0.0044101433296582,0.0551267916207276
64,rookiemonkey/dummy-products-api,inf,0.0566037735849056,0.0088845014807502,0.0582428430404738
65,KevinGrandon/ghostjs,inf,0.032258064516129,0.0581241743725231,0.1459709379128137
66,moszeed/easysoap,inf,0.5365853658536586,0.0139442231075697,0.1374501992031872
67,FredericHeem/redux-act-async,inf,0.0952380952380952,0.032258064516129,0.0506912442396313
68,RickWong/fetch-plus,inf,0.0416666666666666,0.0297805642633228,0.1755485893416928
69,11ty/eleventy-fetch,inf,0.088235294117647,0.0155642023346303,0.11284046692607
70,discoveryjs/json-ext,inf,0.0930232558139534,0.0203761755485893,0.2327586206896551
71,therehq/there-desktop,inf,0.0598591549295774,0.0082512033004813,0.0768966307586523
72,mushan0x0/wxapp-api-interceptors,inf,0.0666666666666666,0.1493582263710618,1.1656942823803966
73,webdriverio-community/wdio-intercept-service,5115212.285714285,0.1619047619047619,0.0349604221635883,0.1497361477572559
74,17koa/runkoa,inf,inf,0.1862745098039215,0.1617647058823529
75,Fdawgs/node-poppler,2422949.6428571427,0.1966101694915254,0.0024166263895601,0.0758820686321894
76,npm/npm-registry-fetch,4160794.1818181816,0.3604651162790697,0.0056577086280056,0.0792079207920792
77,XRM-OSS/Xrm-WebApi-Client,1000921.7777777778,0.1327433628318584,0.1068397403894158,0.0524213679480778
78,freaktechnik/twitch-chatlog,inf,0.2394366197183098,0.007320644216691,0.1266471449487554
79,JAVClub/fetcher,inf,0.5217391304347826,0.0109739368998628,0.1618655692729766
80,respond-framework/rudy,inf,0.1986143187066974,0.0104552869642592,0.0874239952543378
81,liplylie/react-native-simple-alarm,475080.0,inf,0.0155490767735665,0.0621963070942662
82,khalby786/jsoning,3894808.3333333335,0.1825396825396825,0.0167130919220055,0.1615598885793872
83,lacymorrow/album-art,inf,0.1333333333333333,0.0047169811320754,0.1792452830188679
84,nutboltu/storybook-addon-mock,4022033.0,0.424,0.0053106744556558,0.0446096654275092
85,gr2m/before-after-hook,inf,inf,0.0013495276653171,0.0350877192982456
86,tungv/redux-api-call,inf,0.1415094339622641,0.0133868808567603,0.0267737617135207
87,shaozi/ldap-authentication,inf,0.1041666666666666,0.0371203599550056,0.0888638920134983
88,briancavalier/forgefx,inf,0.0508474576271186,0.047683923705722,0.0422343324250681
89,ezypeeze/nuxt-neo,inf,0.4883720930232558,0.0053003533568904,0.127208480565371
90,data-provider/core,inf,0.0840064620355412,0.0042035507640571,0.0306611938084169
91,bbarr/medium,inf,0.1555555555555555,0.1236494597839135,0.0828331332533013
92,sindresorhus/fn-args,inf,inf,0.0697674418604651,0.3643410852713178
93,trambarhq/relaks,inf,0.0384615384615384,0.0798838970217062,0.2868500757193337
94,node-fetch/fetch-blob,inf,0.2727272727272727,0.0134128166915052,0.1505216095380029
95,iXyles/fortnite-basic-api,inf,0.125,0.023989033584647,0.2172721041809458
96,yingray/create-react-redux-app,inf,0.03125,0.0149006622516556,0.0546357615894039
97,RubenVerborgh/AsyncIterator,3068232.0,0.0108108108108108,0.0103732428502181,0.0253029568589432
98,langpavel/node-pg-async,inf,inf,0.0054945054945054,0.129513343799058
99,LiferayCloud/magnet,1127579.0833333333,0.0324909747292418,0.0091901206203331,0.0516944284893739
100,ericblade/mws-advanced,841037.25,0.276978417266187,0.0389950678175092,0.0725955610357583
101,npm/minipass-fetch,inf,0.4347826086956521,0.01212789415656,0.1206174200661521
102,vdavid/node-mautic,inf,0.1875,0.0024570024570024,0.0958230958230958
103,WaleedAshraf/asyncapi-validator,inf,0.1333333333333333,0.0050314465408805,0.0729559748427673
104,JustSift/ReSift,inf,0.0684931506849315,0.0114772913592392,0.0613215281193638
105,marketdial/vue-async-properties,inf,0.1020408163265306,0.0127981384525887,0.108784176847004
106,LN-Zap/node-lnd-grpc,inf,0.6311475409836066,0.0086092715231788,0.0754966887417218
107,labcodes/react-redux-api-tools,inf,inf,0.0082474226804123,0.0701030927835051
108,ZJONSSON/clues,inf,0.0748031496062992,0.0512572533849129,0.2311411992263056
109,canjs/can-ndjson-stream,inf,0.0697674418604651,0.1934156378600823,0.1275720164609053
110,RemoteMetering/geteventstore-promise,inf,0.1709677419354838,0.0028184892897406,0.0910372040586245
