index,repo_name,bug_issues_count,bug-fix_commits_count,commits_count,code_smells,cognitive_complexity,ncloc
1,koajs/koa,77.0,107.0,560.0,8.0,225.0,4855.0
2,avajs/ava,320.0,142.0,1217.0,49.0,1861.0,18186.0
3,node-fetch/node-fetch,184.0,67.0,347.0,38.0,745.0,5363.0
4,yujiosaka/headless-chrome-crawler,22.0,26.0,214.0,18.0,209.0,3411.0
5,developit/redaxios,4.0,15.0,81.0,2.0,63.0,380.0
6,infinitered/apisauce,17.0,6.0,131.0,0.0,13.0,1115.0
7,xiaozhu188/electron-vue-cloud-music,2.0,8.0,71.0,145.0,1126.0,25441.0
8,mikeal/bent,4.0,25.0,45.0,4.0,166.0,652.0
9,umijs/umi-request,15.0,22.0,58.0,87.0,235.0,2211.0
10,sindresorhus/emittery,7.0,3.0,38.0,5.0,158.0,1591.0
11,ctrlplusb/react-async-component,8.0,3.0,48.0,4.0,71.0,553.0
12,kevva/download,4.0,5.0,149.0,0.0,24.0,176.0
13,wheresrhys/fetch-mock,54.0,109.0,552.0,16.0,283.0,5025.0
14,ladjs/frisbee,6.0,25.0,126.0,30.0,159.0,1415.0
15,foxbenjaminfox/vue-async-computed,8.0,6.0,68.0,6.0,63.0,1226.0
16,davellanedam/node-express-mongodb-jwt-rest-api-skeleton,5.0,5.0,140.0,5.0,195.0,3705.0
17,node-webot/co-wechat-api,3.0,26.0,119.0,395.0,116.0,2186.0
18,MatAtBread/fast-async,13.0,2.0,38.0,38.0,69.0,219.0
19,numical/script-ext-html-webpack-plugin,6.0,8.0,55.0,10.0,154.0,1871.0
20,mhaagens/react-mobx-react-router4-boilerplate,6.0,8.0,24.0,51.0,15.0,697.0
21,vitalets/websocket-as-promised,2.0,18.0,123.0,5.0,63.0,987.0
22,kozhevnikov/proxymise,1.0,1.0,22.0,0.0,17.0,352.0
23,getify/fasy,1.0,3.0,34.0,288.0,135.0,1562.0
24,babel/kneden,3.0,4.0,45.0,132.0,311.0,2361.0
25,leebyron/async-to-gen,5.0,7.0,50.0,170.0,185.0,946.0
26,dai-shi/react-hooks-async,1.0,15.0,109.0,4.0,71.0,621.0
27,vercel/fetch,1.0,11.0,53.0,4.0,103.0,657.0
28,ehmicky/log-process-errors,5.0,11.0,740.0,2.0,32.0,775.0
29,xtuc/async-reactor,1.0,13.0,41.0,1.0,19.0,690.0
30,jshttp/on-finished,4.0,5.0,40.0,125.0,92.0,1103.0
31,johndatserakis/koa-vue-notes-api,1.0,2.0,74.0,6.0,79.0,898.0
32,klis87/redux-requests,7.0,12.0,402.0,66.0,944.0,14230.0
33,ilyalesik/react-fetch-hook,1.0,2.0,43.0,49.0,49.0,631.0
34,mcollina/async-cache-dedupe,2.0,14.0,27.0,50.0,375.0,3492.0
35,dvlsg/async-csp,1.0,6.0,74.0,16.0,273.0,1806.0
36,mo/abortcontroller-polyfill,5.0,10.0,81.0,4.0,135.0,735.0
37,wtfaremyinitials/osa-imessage,2.0,3.0,44.0,3.0,21.0,193.0
38,mhart/aws4fetch,2.0,4.0,32.0,5.0,153.0,983.0
39,microlinkhq/async-ratelimiter,4.0,5.0,30.0,1.0,39.0,339.0
40,finos/regular-table,5.0,35.0,248.0,36.0,449.0,3310.0
41,sindresorhus/loud-rejection,1.0,2.0,26.0,3.0,15.0,197.0
42,bajankristof/nedb-promises,4.0,3.0,42.0,4.0,14.0,518.0
43,luffyZh/next-antd-scaffold,2.0,17.0,95.0,11.0,41.0,842.0
44,AnthumChris/fetch-stream-audio,2.0,3.0,38.0,20.0,136.0,1013.0
45,npm/pacote,27.0,195.0,499.0,34.0,357.0,4971.0
46,wopian/kitsu,23.0,89.0,337.0,7.0,206.0,6321.0
47,ericelliott/redux-dsm,3.0,7.0,37.0,2.0,16.0,374.0
48,maxogden/toiletdb,1.0,1.0,28.0,2.0,74.0,370.0
49,franciscop/translate,9.0,3.0,63.0,12.0,76.0,1018.0
50,perich/ethereum-dex-prices-service,4.0,23.0,126.0,8.0,359.0,2275.0
51,kylefarris/clamscan,29.0,38.0,177.0,53.0,1334.0,3295.0
52,ember-cli/ember-fetch,20.0,43.0,225.0,9.0,59.0,1929.0
53,alpertuna/react-metismenu,4.0,8.0,100.0,134.0,167.0,2139.0
54,DockYard/ember-async-button,2.0,5.0,95.0,3.0,29.0,720.0
55,moaxaca/async-redis,1.0,1.0,24.0,1.0,34.0,369.0
56,viniciusdacal/redux-arc,1.0,3.0,42.0,2.0,71.0,1040.0
57,trekjs/trek,1.0,5.0,104.0,2.0,40.0,404.0
58,lavyun/better-mock,16.0,13.0,112.0,579.0,924.0,6820.0
59,techniq/react-fetch-component,1.0,2.0,89.0,37.0,87.0,2013.0
60,gullerya/object-observer,15.0,43.0,200.0,22.0,346.0,3324.0
61,joelnet/MojiScript,5.0,38.0,315.0,30.0,252.0,3948.0
62,npm/make-fetch-happen,14.0,100.0,165.0,15.0,225.0,4344.0
63,kouhin/redux-dataloader,1.0,11.0,53.0,4.0,50.0,907.0
64,rookiemonkey/dummy-products-api,1.0,3.0,53.0,9.0,59.0,1013.0
65,KevinGrandon/ghostjs,2.0,6.0,186.0,88.0,221.0,1514.0
66,moszeed/easysoap,2.0,22.0,41.0,7.0,69.0,502.0
67,FredericHeem/redux-act-async,1.0,4.0,42.0,14.0,22.0,434.0
68,RickWong/fetch-plus,2.0,3.0,72.0,19.0,112.0,638.0
69,11ty/eleventy-fetch,1.0,3.0,34.0,8.0,58.0,514.0
70,discoveryjs/json-ext,1.0,8.0,86.0,52.0,594.0,2552.0
71,therehq/there-desktop,1.0,17.0,284.0,72.0,671.0,8726.0
72,mushan0x0/wxapp-api-interceptors,1.0,2.0,30.0,128.0,999.0,857.0
73,webdriverio-community/wdio-intercept-service,8.0,17.0,105.0,53.0,227.0,1516.0
74,17koa/runkoa,1.0,5.0,28.0,38.0,33.0,204.0
75,Fdawgs/node-poppler,15.0,58.0,295.0,5.0,157.0,2069.0
76,npm/npm-registry-fetch,13.0,31.0,86.0,12.0,168.0,2121.0
77,XRM-OSS/Xrm-WebApi-Client,9.0,15.0,113.0,214.0,105.0,2003.0
78,freaktechnik/twitch-chatlog,5.0,17.0,71.0,10.0,173.0,1366.0
79,JAVClub/fetcher,1.0,24.0,46.0,8.0,118.0,729.0
80,respond-framework/rudy,1.0,86.0,433.0,141.0,1179.0,13486.0
81,liplylie/react-native-simple-alarm,5.0,8.0,21.0,16.0,64.0,1029.0
82,khalby786/jsoning,6.0,23.0,126.0,6.0,58.0,359.0
83,lacymorrow/album-art,1.0,4.0,30.0,1.0,38.0,212.0
84,nutboltu/storybook-addon-mock,12.0,53.0,125.0,10.0,84.0,1883.0
85,gr2m/before-after-hook,2.0,5.0,26.0,1.0,26.0,741.0
86,tungv/redux-api-call,2.0,15.0,106.0,20.0,40.0,1494.0
87,shaozi/ldap-authentication,2.0,5.0,48.0,33.0,79.0,889.0
88,briancavalier/forgefx,1.0,3.0,59.0,35.0,31.0,734.0
89,ezypeeze/nuxt-neo,1.0,21.0,43.0,6.0,144.0,1132.0
90,data-provider/core,3.0,52.0,619.0,85.0,620.0,20221.0
91,bbarr/medium,1.0,7.0,45.0,103.0,69.0,833.0
92,sindresorhus/fn-args,1.0,1.0,21.0,9.0,47.0,129.0
93,trambarhq/relaks,1.0,4.0,104.0,633.0,2273.0,7924.0
94,node-fetch/fetch-blob,3.0,12.0,44.0,9.0,101.0,671.0
95,iXyles/fortnite-basic-api,2.0,7.0,56.0,35.0,317.0,1459.0
96,yingray/create-react-redux-app,1.0,1.0,32.0,9.0,33.0,604.0
97,RubenVerborgh/AsyncIterator,5.0,2.0,185.0,107.0,261.0,10315.0
98,langpavel/node-pg-async,1.0,3.0,25.0,7.0,165.0,1274.0
99,LiferayCloud/magnet,12.0,9.0,277.0,16.0,90.0,1741.0
100,ericblade/mws-advanced,8.0,77.0,278.0,253.0,471.0,6488.0
101,npm/minipass-fetch,4.0,20.0,46.0,55.0,547.0,4535.0
102,vdavid/node-mautic,2.0,6.0,32.0,1.0,39.0,407.0
103,WaleedAshraf/asyncapi-validator,2.0,12.0,90.0,4.0,58.0,795.0
104,JustSift/ReSift,1.0,10.0,146.0,70.0,374.0,6099.0
105,marketdial/vue-async-properties,1.0,5.0,49.0,22.0,187.0,1719.0
106,LN-Zap/node-lnd-grpc,3.0,77.0,122.0,13.0,114.0,1510.0
107,labcodes/react-redux-api-tools,1.0,3.0,28.0,4.0,34.0,485.0
108,ZJONSSON/clues,2.0,19.0,254.0,106.0,478.0,2068.0
109,canjs/can-ndjson-stream,1.0,3.0,43.0,47.0,31.0,243.0
110,RemoteMetering/geteventstore-promise,2.0,53.0,310.0,10.0,323.0,3548.0
111,Datamosh-js/datamosh,4.0,3.0,39.0,13.0,273.0,701.0
112,adobe/fetch,24.0,63.0,116.0,21.0,585.0,5167.0
113,tcollinsworth/axios-cached-dns-resolve,1.0,5.0,24.0,3.0,44.0,367.0
114,multiformats/js-multihashing-async,1.0,11.0,45.0,1.0,22.0,422.0
115,mainmatter/ember-promise-modals,4.0,15.0,135.0,1.0,36.0,1291.0
116,G100g/gatsby-source-twitter,1.0,2.0,27.0,17.0,39.0,2231.0
117,mixmaxhq/redfour,1.0,6.0,35.0,0.0,20.0,226.0
118,lacymorrow/movie-trailer,1.0,1.0,24.0,1.0,53.0,310.0
119,aupac/ember-aupac-typeahead,8.0,28.0,104.0,9.0,57.0,1004.0
120,IBM/nodejs-idb-pconnector,16.0,10.0,114.0,12.0,146.0,1674.0
121,franciscop/files,1.0,3.0,50.0,5.0,42.0,655.0
122,PrathmeshSadake/unsplashy,2.0,1.0,73.0,49.0,25.0,901.0
123,oneut/async-react-router,1.0,20.0,105.0,44.0,112.0,5191.0
124,canjs/can-fixture,31.0,58.0,164.0,431.0,390.0,3046.0
125,unirakun/k-ramel,7.0,17.0,103.0,18.0,194.0,3171.0
126,johnbabu021/quiz-app,2.0,10.0,44.0,17.0,37.0,271.0
127,NodeSecure/vulnera,3.0,12.0,28.0,0.0,56.0,1447.0
128,vision10/mssql-ssrs,1.0,17.0,37.0,129.0,394.0,835.0
129,Guseyn/cutie,4.0,14.0,76.0,2.0,62.0,946.0
130,crisdosyago/bang.html,5.0,19.0,316.0,810.0,10127.0,25443.0
131,algm/reactstrap-confirm,3.0,2.0,26.0,28.0,6.0,449.0
132,Guseyn/page,9.0,14.0,135.0,3.0,17.0,617.0
133,marko-js-archive/marko-async,1.0,4.0,50.0,62.0,135.0,405.0
134,nlf/muckraker,1.0,12.0,73.0,4.0,127.0,1066.0
135,callback-demons/callback-news,5.0,34.0,281.0,41.0,151.0,3971.0
136,saseungmin/Recoil_ToDo,1.0,15.0,164.0,20.0,89.0,4828.0
137,superMDguy/tuxi,1.0,3.0,22.0,3.0,49.0,558.0
138,ssbc/async-append-only-log,3.0,50.0,240.0,186.0,801.0,3558.0
139,iarna/fetch-fic,1.0,27.0,744.0,209.0,2166.0,7653.0
140,AsyncAF/AsyncAF,1.0,41.0,284.0,178.0,286.0,5041.0
141,marmelab/coPostgresQuery,1.0,22.0,204.0,15.0,117.0,3196.0
142,g0v/ppt,2.0,30.0,180.0,72.0,226.0,2515.0
143,vadzim/mergeiterator,1.0,7.0,64.0,6.0,119.0,542.0
