index,repo_name,avg_bug-issue_time,bug-fix-commits_ratio,code-smells_ncloc,cognitive-complexity_ncloc
1,olifolkerd/tabulator,2615133.467770035,0.1781931464174455,0.0617315184941557,0.3380053635581642
2,muicss/loadjs,2497184.833333333,0.1333333333333333,0.0716783216783216,0.2386363636363636
3,LeaVerou/bliss,240338.26666666663,0.1144781144781144,0.112,0.1563333333333333
4,wendux/ajax-hook,inf,0.6666666666666666,0.1111111111111111,0.160075329566855
5,noelboss/featherlight,2398413.287878788,0.0612244897959183,0.0975609756097561,0.0185830429732868
6,jeffbski/redux-logic,1042106.6666666666,0.0975609756097561,0.0074316553127488,0.0392816066531009
7,staylor/react-helmet-async,inf,0.2291666666666666,0.0018422991893883,0.0350036845983787
8,sindresorhus/pify,inf,0.0789473684210526,0.0163551401869158,0.1214953271028037
9,MoOx/pjax,5307778.296296297,0.1597222222222222,0.1360572872788542,0.132687447346251
10,danielm/uploader,inf,0.075268817204301,0.0326797385620915,0.0392156862745098
11,amplitude/redux-query,637960.9090909091,0.064,0.0063167065998693,0.0564147244609017
12,i5ting/koa-generator,inf,inf,0.1425661914460285,0.0936863543788187
13,MuYunyun/reactSPA,2764670.8,0.0897435897435897,0.009560664693831,0.0651035738675165
14,jasonmayes/Twitter-Post-Fetcher,1191738.6666666667,0.1496062992125984,0.1515151515151515,0.0303030303030303
15,dareid/chakram,inf,0.116504854368932,0.1209941137998692,0.0627861347285807
16,smalldots/smalldots,inf,0.0747126436781609,0.009090909090909,0.1454545454545454
17,remy/bind.js,inf,0.2280701754385964,0.0834586466165413,0.3413533834586466
18,suguru03/neo-async,658807.5,0.2516129032258064,0.1259501266835578,0.1483864515268702
19,ambassify/react-avatar,5883005.03030303,0.2510288065843621,0.0047489823609226,0.0780189959294437
20,teambition/then.js,inf,0.2454545454545454,0.0796407185628742,0.1401197604790419
21,jmar777/suspend,inf,0.1518987341772152,0.0654377880184331,0.0811059907834101
22,running-coder/jquery-typeahead,1637898.6907216494,0.0916230366492146,0.0063377093707559,0.0101856043458578
23,thunks/thunks,inf,0.2148148148148148,0.1148469965999244,0.1537589724216093
24,seigel/pouchdb-react-native,705685.7272727273,0.1436170212765957,0.0167633784655061,0.2088974854932301
25,andreypopp/react-async,inf,0.1011235955056179,0.0123180291153415,0.0884658454647256
26,yahoo/fetchr,2746644.5,0.0883720930232558,0.0617021276595744,0.065531914893617
27,englercj/resource-loader,3738555.2,0.3144329896907216,0.0033975084937712,0.0271800679501698
28,zkat/make-fetch-happen,1246565.0,0.6404494382022472,0.003470883146934,0.110682607018897
29,rpominov/fun-task,inf,0.2258064516129032,0.0167853509664293,0.0707019328585961
30,express-promise-router/express-promise-router,5248797.666666667,0.0957446808510638,0.1165452653485952,0.0593132154006243
