index,repo_name,bug_issues_count,bug-fix_commits_count,commits_count,code_smells,cognitive_complexity,ncloc
1,olifolkerd/tabulator,1196.0,572.0,3210.0,1220.0,6680.0,19763.0
2,muicss/loadjs,6.0,10.0,75.0,82.0,273.0,1144.0
3,LeaVerou/bliss,17.0,34.0,297.0,336.0,469.0,3000.0
4,wendux/ajax-hook,5.0,22.0,33.0,59.0,85.0,531.0
5,noelboss/featherlight,73.0,24.0,392.0,84.0,16.0,861.0
6,jeffbski/redux-logic,10.0,16.0,164.0,84.0,444.0,11303.0
7,staylor/react-helmet-async,8.0,11.0,48.0,10.0,190.0,5428.0
8,sindresorhus/pify,5.0,3.0,38.0,7.0,52.0,428.0
9,MoOx/pjax,33.0,23.0,144.0,323.0,315.0,2374.0
10,danielm/uploader,5.0,7.0,93.0,5.0,6.0,153.0
11,amplitude/redux-query,11.0,8.0,125.0,29.0,259.0,4591.0
12,i5ting/koa-generator,4.0,4.0,28.0,70.0,46.0,491.0
13,MuYunyun/reactSPA,5.0,7.0,78.0,42.0,286.0,4393.0
14,jasonmayes/Twitter-Post-Fetcher,13.0,19.0,127.0,20.0,4.0,132.0
15,dareid/chakram,3.0,12.0,103.0,185.0,96.0,1529.0
16,smalldots/smalldots,2.0,13.0,174.0,2.0,32.0,220.0
17,remy/bind.js,6.0,13.0,57.0,111.0,454.0,1330.0
18,suguru03/neo-async,6.0,195.0,775.0,3778.0,4451.0,29996.0
19,ambassify/react-avatar,38.0,61.0,243.0,7.0,115.0,1474.0
20,teambition/then.js,1.0,27.0,110.0,133.0,234.0,1670.0
21,jmar777/suspend,2.0,12.0,79.0,71.0,88.0,1085.0
22,running-coder/jquery-typeahead,104.0,35.0,382.0,28.0,45.0,4418.0
23,thunks/thunks,1.0,29.0,135.0,304.0,407.0,2647.0
24,seigel/pouchdb-react-native,12.0,27.0,188.0,26.0,324.0,1551.0
25,andreypopp/react-async,1.0,9.0,89.0,11.0,79.0,893.0
26,yahoo/fetchr,14.0,19.0,215.0,290.0,308.0,4700.0
27,englercj/resource-loader,25.0,61.0,194.0,6.0,48.0,1766.0
28,zkat/make-fetch-happen,8.0,57.0,89.0,9.0,287.0,2593.0
29,rpominov/fun-task,2.0,14.0,62.0,33.0,139.0,1966.0
30,express-promise-router/express-promise-router,7.0,9.0,94.0,112.0,57.0,961.0
31,hzzly/MagicMusic,1.0,6.0,62.0,120.0,271.0,6119.0
32,jamesplease/react-request,10.0,10.0,132.0,42.0,136.0,2843.0
33,doedje/jquery.soap,11.0,42.0,137.0,38.0,52.0,169.0
34,missinglink/huntsman,1.0,8.0,49.0,88.0,175.0,627.0
35,bendrucker/angularjs-stripe,7.0,2.0,51.0,286.0,538.0,1251.0
36,krampstudio/aja.js,4.0,9.0,82.0,46.0,11.0,834.0
37,tmpfs/async-validate,2.0,6.0,385.0,433.0,328.0,4324.0
38,i18next/i18next-http-backend,43.0,15.0,75.0,112.0,1014.0,1964.0
39,DevExpress/AjaxControlToolkit,111.0,232.0,1122.0,7375.0,24063.0,67759.0
40,lokiuz/redraft,5.0,15.0,79.0,12.0,135.0,2979.0
41,vvo/in-viewport,4.0,17.0,110.0,83.0,87.0,890.0
42,truckingsim/Ajax-Bootstrap-Select,15.0,18.0,176.0,86.0,300.0,1610.0
43,donavon/thwack,1.0,2.0,35.0,30.0,126.0,2137.0
44,ProgerXP/FileDrop,3.0,3.0,27.0,148.0,461.0,941.0
45,whizzzkid/instagram-proxy-api,2.0,2.0,66.0,2.0,39.0,366.0
46,yanatan16/nanoajax,2.0,1.0,28.0,18.0,45.0,234.0
47,chadxz/imap-simple,12.0,12.0,77.0,62.0,127.0,591.0
48,rnicholus/ajax-form,19.0,40.0,105.0,174.0,708.0,1828.0
49,BosNaufal/vue2-autocomplete,3.0,2.0,40.0,5.0,41.0,455.0
50,green-arrow/react-firestore,3.0,7.0,22.0,2.0,44.0,1523.0
51,node-vk-bot-api/node-vk-bot-api,1.0,27.0,71.0,1.0,101.0,1145.0
52,brianc/node-pg-native,13.0,2.0,59.0,209.0,105.0,1249.0
53,nash-md/twilio-contact-center,3.0,34.0,145.0,92.0,254.0,2970.0
54,thunks/thunk-redis,6.0,37.0,145.0,16.0,373.0,4729.0
55,edisonchee/slimbot,2.0,4.0,93.0,6.0,215.0,1488.0
56,nspragg/filehound,6.0,5.0,152.0,98.0,182.0,1839.0
57,bhushankumarl/amazon-mws,11.0,19.0,162.0,258.0,262.0,1574.0
58,eBay/jsonpipe,2.0,2.0,36.0,94.0,238.0,817.0
59,stevenrskelton/sortable-table,3.0,2.0,21.0,115.0,453.0,1034.0
60,danielstjules/mocha.parallel,5.0,6.0,63.0,99.0,107.0,1027.0
61,redux-things/redux-actions-assertions,1.0,1.0,41.0,24.0,49.0,1210.0
62,mafintosh/duplexify,1.0,9.0,48.0,85.0,77.0,479.0
63,metarhia/metasync,18.0,17.0,275.0,17.0,588.0,5600.0
64,icerockdev/libs.kmp.icerock.dev,1.0,10.0,65.0,16.0,74.0,596.0
65,lyfeyaj/ewa,2.0,70.0,255.0,36.0,680.0,3150.0
66,biggora/bootstrap-ajax-typeahead,1.0,4.0,54.0,31.0,126.0,465.0
67,pie6k/jquery.initialize,3.0,2.0,51.0,24.0,76.0,97.0
68,hustcc/size-sensor,3.0,5.0,27.0,2.0,23.0,264.0
69,slightlyoff/async-local-storage,2.0,2.0,21.0,172.0,823.0,1505.0
70,functional-promises/functional-promises,6.0,26.0,122.0,88.0,287.0,1097.0
71,jstransformers/jstransformer,2.0,1.0,48.0,326.0,168.0,1991.0
72,bjouhier/galaxy,2.0,27.0,77.0,270.0,202.0,1598.0
73,edgardleal/require-vuejs,11.0,27.0,83.0,184.0,167.0,1230.0
74,vitaly-t/pg-monitor,3.0,13.0,103.0,10.0,199.0,1260.0
75,omgimanerd/getnews.tech,1.0,12.0,82.0,5.0,63.0,784.0
76,dchest/scrypt-async-js,1.0,6.0,61.0,53.0,155.0,1102.0
77,blackflux/object-scan,6.0,237.0,1226.0,46.0,948.0,9796.0
78,ymaps/modules,2.0,7.0,58.0,3.0,2.0,217.0
79,Dmitri-Sintsov/django-jinja-knockout,2.0,49.0,678.0,2271.0,30121.0,33628.0
80,fanout/pollymer,1.0,4.0,38.0,59.0,110.0,464.0
81,bzarras/newsapi,1.0,3.0,21.0,0.0,44.0,250.0
82,arca-computing/MultipleDatePicker,4.0,17.0,100.0,15.0,7.0,126.0
