index,repo_name,bug_issues_count,bug-fix_commits_count,commits_count,code_smells,cognitive_complexity,ncloc
1,axios/axios,1331.0,104.0,825.0,194.0,1216.0,9831.0
2,github/fetch,62.0,22.0,401.0,178.0,232.0,2120.0
3,petkaantonov/bluebird,231.0,99.0,1308.0,4711.0,5137.0,29909.0
4,zloirock/core-js,117.0,664.0,3291.0,9724.0,7926.0,76123.0
5,tj/co,9.0,18.0,141.0,135.0,64.0,699.0
6,stefanpenner/es6-promise,25.0,68.0,397.0,216.0,166.0,1903.0
7,request/request-promise,17.0,20.0,146.0,55.0,25.0,363.0
8,wendux/fly,6.0,39.0,109.0,72.0,404.0,1277.0
9,heroku/react-refetch,16.0,29.0,296.0,38.0,280.0,3205.0
10,vitaly-t/pg-promise,50.0,142.0,1553.0,69.0,1407.0,11557.0
11,BrasilAPI/cep-promise,11.0,39.0,183.0,0.0,39.0,2214.0
12,wkh237/react-native-fetch-blob,83.0,15.0,450.0,171.0,1143.0,3496.0
13,fluture-js/Fluture,23.0,41.0,534.0,621.0,296.0,4880.0
14,js-csp/js-csp,5.0,48.0,227.0,113.0,400.0,3299.0
15,taylorhakes/promise-polyfill,12.0,20.0,106.0,53.0,106.0,1184.0
16,async-library/react-async,9.0,12.0,150.0,63.0,146.0,2661.0
17,mozilla/webextension-polyfill,21.0,39.0,72.0,16.0,245.0,1887.0
18,pburtchaell/redux-promise-middleware,32.0,24.0,161.0,2.0,85.0,1029.0
19,RickWong/react-transmit,2.0,4.0,65.0,66.0,94.0,729.0
20,domenic/promises-unwrapping,13.0,12.0,70.0,93.0,78.0,898.0
21,crcn/mesh.js,8.0,42.0,341.0,1821.0,3293.0,10402.0
22,nodeshift/opossum,28.0,67.0,182.0,11.0,179.0,2648.0
23,christopherthielen/ui-router-extras,70.0,89.0,220.0,2030.0,10159.0,15694.0
24,eslint-community/eslint-plugin-promise,19.0,44.0,128.0,9.0,294.0,3315.0
25,fdaciuk/ajax,3.0,6.0,192.0,25.0,47.0,594.0
26,calvinmetcalf/lie,1.0,8.0,148.0,154.0,246.0,1383.0
27,stevekane/promise-it-wont-hurt,3.0,3.0,78.0,174.0,139.0,1051.0
28,rapidjs/rapid.js,6.0,13.0,101.0,2.0,50.0,1121.0
29,krakenjs/post-robot,4.0,22.0,630.0,14.0,661.0,4201.0
30,brocoders/redux-async-connect,3.0,7.0,22.0,7.0,28.0,279.0
31,makeomatic/redux-connect,3.0,14.0,51.0,6.0,70.0,1217.0
32,peerigon/phridge,4.0,10.0,93.0,170.0,93.0,1417.0
33,mjackson/http-client,1.0,3.0,76.0,0.0,27.0,650.0
34,davellanedam/vue-skeleton-mvp,4.0,12.0,398.0,7.0,145.0,4711.0
35,ericholiveira/studio,5.0,39.0,212.0,282.0,135.0,1881.0
36,Mevrael/bunny,2.0,39.0,202.0,595.0,1895.0,8660.0
37,bananaoomarang/isomorphic-redux,7.0,2.0,62.0,6.0,23.0,445.0
38,vstirbu/fsm-as-promised,2.0,18.0,102.0,132.0,12.0,2197.0
39,aravindnc/mongoose-paginate-v2,42.0,11.0,105.0,34.0,157.0,1092.0
40,lei-mu/luch-request,1.0,6.0,61.0,199.0,820.0,3217.0
41,pagarme/pagarme-js,9.0,76.0,454.0,10.0,75.0,2295.0
42,philschatz/octokat.js,11.0,39.0,222.0,85.0,318.0,2220.0
43,k-water/electron-filesystem,1.0,9.0,30.0,39.0,221.0,2482.0
44,timdp/es6-promise-pool,1.0,4.0,54.0,188.0,180.0,938.0
45,Godofbrowser/vuejs-dialog,3.0,8.0,88.0,9.0,118.0,1772.0
46,mlegenhausen/fetch-intercept,4.0,2.0,21.0,0.0,12.0,233.0
47,CodeFoodPixels/node-promise-mysql,8.0,4.0,54.0,28.0,56.0,1599.0
48,suguru03/aigle,9.0,143.0,638.0,291.0,1008.0,24455.0
49,hjkcai/vue-modal-dialogs,3.0,31.0,186.0,2.0,42.0,851.0
50,ysmood/yaku,14.0,43.0,218.0,334.0,178.0,2617.0
51,mqttjs/async-mqtt,2.0,5.0,30.0,0.0,20.0,323.0
52,jonbern/fetch-retry,2.0,8.0,59.0,45.0,94.0,1146.0
53,qubyte/fetch-ponyfill,2.0,7.0,48.0,42.0,21.0,456.0
54,diegohaz/redux-saga-thunk,3.0,3.0,22.0,1.0,73.0,1096.0
55,PokeAPI/pokeapi-js-wrapper,1.0,5.0,34.0,16.0,60.0,2281.0
56,a-synchronous/rubico,2.0,55.0,1227.0,646.0,3670.0,24947.0
57,ember-cli/ember-ajax,18.0,26.0,218.0,12.0,10.0,2420.0
58,spion/blue-tape,1.0,3.0,27.0,16.0,15.0,153.0
59,fivetanley/ember-promise-helpers,1.0,7.0,65.0,1.0,20.0,1236.0
60,Lemoncode/react-promise-tracker,6.0,18.0,117.0,91.0,59.0,3443.0
61,gucheen/fetchql,1.0,15.0,53.0,95.0,227.0,1366.0
62,kevinbeaty/any-promise,2.0,2.0,29.0,150.0,47.0,538.0
